Species.ID,Length.mm,Width.mm,Height.mm,Weight.g
G1_MytilusA,60,34,20,16.52
G1_MytilusB,51,26,17,9.32
G1_Tegula,22,20,16,5.56
G1_Acanthina,18,10,17,1.25
G2_MytilusA,54,27,17,11.5
G2_MytilusB,58,31,19,15.69
G2_Tegula,22,19,17,5.37
G2_Acanthina,21,12,19,1.68
G3_MytilusA,59,28,19,17.51
G3_MytilusB,50,25,18,10.77
G3_Tegula,22,20,16,5.15
G3_Acanthina,21,10,10,1.44
G4_MytilusA,61,28,20,16.2
G4_MytilusB,52,27,17,10.3
G4_Tegula,23,21,16,5.7
G4_Acanthina,22,12,9,1.76
G5_MytilusA,55,28,18,14.05
G5_MytilusB,55,30,19,15.76
G5_Tegula,22,21,18,6.23
G5_Acanthina,21,11,9,1.52
G6_MytilusA,58,31,19,16.48
G6_MytilusB,51,27,17,11.12
G6_Tegula,24,20,17,6.39
G6_Acanthina,19,10,7,1.05
G7_MytilusA,46,25,18,10.33
G7_MytilusB,63,32,19,18.4
G7_Tegula,22,21,18,6.27
G7_Acanthina,22,12,10,1.86
G8_MytilusA,45,25,17,9.36
G8_MytilusB,64,32,21,19.73
G8_Tegula,23,20,18,7.39
G8_Acanthina,19,11,9,1.44
G9_MytilusA,57,29,22,18.78
G9_MytilusB,52,27,16,9.72
G9_Tegula,21,18,15,4.39
G9_Acanthina,20,11,10,1.7
G10_MytilusA,49,26,18,9.79
G10_MytilusB,60,33,19,17.84
G10_Tegula,22,18,17,5.32
G10_Acanthina,21,11,9,1.69