"","Group.ID","Assemblage.ID","Rate.ln"
"1","G1","diff_A1",-0.23003564831575
"2","G1","diff_A2",-0.29894997760836
"3","G1","diff_A3",-0.570704363857665
"4","G1","A1",3.25330913131815
"5","G1","A2",2.75666510231881
"6","G1","A3",1.74368052742951
"7","G1","A5",3.70622936851054
"8","G1","A6",2.34360880814104
"9","G1","A7",2.86073190912738
"10","G1","A5_A6_A7",4.22527240930276
"11","G1","A5_A6",3.93219458565085
"12","G1","A5_A7",4.06172432382095
"13","G1","A6_A7",3.32478706887606
"14","G10","diff_A1",-0.408086819451994
"15","G10","diff_A2",-0.275695981622825
"16","G10","diff_A3",-0.292153174725501
"17","G10","diff_A4",-0.275156627719954
"18","G10","A1",2.43542599472605
"19","G10","A2",2.75216730944607
"20","G10","A3",2.82073278232714
"21","G10","A4",2.30573094263871
"22","G10","A5",3.6176670710741
"23","G10","A6",2.02009251423186
"24","G10","A7",2.81132425903491
"25","G10","A5_A6_A7",4.11449867102348
"26","G10","A5_A6",3.79974049517547
"27","G10","A5_A7",3.98494798819402
"28","G10","A6_A7",3.1810057604388
"29","G2","diff_A1",-0.566092186473467
"30","G2","diff_A2",-0.173416637297073
"31","G2","diff_A3",-0.24656861381252
"32","G2","diff_A4",-0.219884862813049
"33","G2","A1",1.83348124014499
"34","G2","A2",3.28311618551348
"35","G2","A3",2.82882366624678
"36","G2","A4",2.89921960212151
"37","G2","A5",3.31029482498953
"38","G2","A6",3.25009233481281
"39","G2","A7",2.73588405424744
"40","G2","A5_A6_A7",4.22550869790427
"41","G2","A5_A6",3.97191176795247
"42","G2","A5_A7",3.75458697116564
"43","G2","A6_A7",3.71639962349138
"44","G3","diff_A1",-0.360117582465006
"45","G3","diff_A2",-0.311983337332164
"46","G3","diff_A3",-0.384923719959774
"47","G3","diff_A4",-0.236180487921316
"48","G3","A1",2.66894183495095
"49","G3","A2",2.60912102857386
"50","G3","A3",2.29406338338621
"51","G3","A4",2.88409076557844
"52","G3","A5",3.05605235803221
"53","G3","A6",3.14466528003645
"54","G3","A7",3.02159411729372
"55","G3","A5_A6_A7",4.17098792186299
"56","G3","A5_A6",3.79223523229335
"57","G3","A5_A7",3.72972175619612
"58","G3","A6_A7",3.77587992970954
"59","G4","diff_A1",-0.314875512484667
"60","G4","diff_A2",-0.429570931018274
"61","G4","diff_A3",-0.278148879190471
"62","G4","diff_A4",-0.282068855947312
"63","G4","A1",2.66479694215703
"64","G4","A2",2.09525292111756
"65","G4","A3",2.45324099902169
"66","G4","A4",2.40698109977001
"67","G4","A5",3.01593077358315
"68","G4","A6",2.9479266826587
"69","G4","A7",2.26304895854957
"70","G4","A5_A6_A7",3.88950765987239
"71","G4","A5_A6",3.67311736910218
"72","G4","A5_A7",3.39854151126131
"73","G4","A6_A7",3.35266288377283
"74","G5","diff_A1",-0.41303396861245
"75","G5","diff_A2",-0.217600393265636
"76","G5","diff_A3",-0.379899249737578
"77","G5","diff_A4",0.0012466917095785
"78","G5","A1",2.25864346998894
"79","G5","A2",2.86120233944086
"80","G5","A3",2.09439420281936
"81","G5","A4",3.25664143801286
"82","G5","A5",3.05125655189133
"83","G5","A6",2.87364399594386
"84","G5","A7",2.11090719184949
"85","G5","A5_A6_A7",3.84799690137034
"86","G5","A5_A6",3.65695779345181
"87","G5","A5_A7",3.37750631963117
"88","G5","A6_A7",3.25258646543172
"89","G6","diff_A1",-0.357916933014887
"90","G6","diff_A2",-0.255245952497482
"91","G6","diff_A3",-0.324434251800528
"92","G6","diff_A4",-0.353605411361275
"93","G6","A1",2.56428262047758
"94","G6","A2",2.81975260691662
"95","G6","A3",2.25210942959611
"96","G6","A4",2.3249713031051
"97","G6","A5",2.88326249648944
"98","G6","A6",3.27010021058527
"99","G6","A7",2.32907291178301
"100","G6","A5_A6_A7",3.99369295396329
"101","G6","A5_A6",3.78615277939404
"102","G6","A5_A7",3.33366431853371
"103","G6","A6_A7",3.59682977544935
"104","G7","diff_A1",-0.317647363029826
"105","G7","diff_A2",-0.323871126346258
"106","G7","diff_A3",-0.292920690396545
"107","G7","diff_A4",-0.224790794380055
"108","G7","A1",2.85788331146556
"109","G7","A2",2.62867995792833
"110","G7","A3",2.69721896681869
"111","G7","A4",2.81487642207159
"112","G7","A5",3.3412440123864
"113","G7","A6",2.24969986443503
"114","G7","A7",2.84514109136616
"115","G7","A5_A6_A7",4.18827913401979
"116","G7","A5_A6",3.88783863603276
"117","G7","A5_A7",3.81459184307252
"118","G7","A6_A7",3.63111841508705
"119","G8","diff_A1",-0.317579503651552
"120","G8","diff_A2",-0.257366719523556
"121","G8","diff_A3",-0.332191384144233
"122","G8","diff_A4",-0.180907239059251
"123","G8","A1",2.85406178548533
"124","G8","A2",2.84741483986752
"125","G8","A3",2.57270414809103
"126","G8","A4",2.97437681137328
"127","G8","A5",3.3268978020344
"128","G8","A6",2.91805418125544
"129","G8","A7",2.9630475760261
"130","G8","A5_A6_A7",4.1822626969106
"131","G8","A5_A6",3.83421389092707
"132","G8","A5_A7",3.85245725647643
"133","G8","A6_A7",3.63130643220083
"134","G9","diff_A1",-0.377591523098177
"135","G9","diff_A2",-0.320492661511139
"136","G9","diff_A3",-0.303636951958704
"137","G9","diff_A4",-0.21202208114237
"138","G9","A1",2.46576075070515
"139","G9","A2",2.38044859185874
"140","G9","A3",2.62518773228279
"141","G9","A4",2.6421891951971
"142","G9","A5",3.18020406554076
"143","G9","A6",2.22676782777392
"144","G9","A7",2.96641235889173
"145","G9","A5_A6_A7",3.96164390783851
"146","G9","A5_A6",3.5031977684782
"147","G9","A5_A7",3.76985501983027
"148","G9","A6_A7",3.35312593407136
